Rezept;Kategorie;Schwierigkeit;Zeit_min;Haupttechnik;Hinweis;Portionen;Zutat_01;Menge_01;Einheit_01;Zutat_02;Menge_02;Einheit_02;Zutat_03;Menge_03;Einheit_03;Zutat_04;Menge_04;Einheit_04;Zutat_05;Menge_05;Einheit_05;Zutat_06;Menge_06;Einheit_06;Zutat_07;Menge_07;Einheit_07;Zutat_08;Menge_08;Einheit_08;Schritt_01;Schritt_02;Schritt_03;Schritt_04;Schritt_05
Müsli mit Joghurt und Obst;Frühstück;leicht;10;Kalt zubereiten;vegetarisch;4;Müsli;250;g;Joghurt;500;g;Obst (z. B. Apfel/Banane/Beeren);400;g;Honig oder Ahornsirup;2;EL;;;;;;;;;;;;;Obst waschen und klein schneiden.;Joghurt in Schalen verteilen.;Müsli darübergeben.;Obst darauf anrichten und nach Wunsch süßen.;
Overnight Oats (Basis);Frühstück;leicht;15;Kalt zubereiten;vegetarisch;4;Haferflocken;200;g;Milch oder Pflanzendrink;400;ml;Joghurt;200;g;Obst (z. B. Beeren);300;g;Honig oder Ahornsirup;2;EL;;;;;;;;;;Haferflocken, Milch und Joghurt verrühren.;Nach Wunsch süßen.;Abgedeckt kalt stellen (mind. 2–4 Std., besser über Nacht).;Vor dem Servieren Obst zugeben.;
Porridge (warm);Frühstück;leicht;15;Kochen;vegan möglich;4;Haferflocken;200;g;Milch oder Pflanzendrink;600;ml;Banane;2;Stück;Zimt;1;TL;Honig oder Ahornsirup;1;EL;;;;;;;;;;Haferflocken mit Milch erhitzen.;5–8 Minuten cremig kochen.;Banane schneiden.;Mit Zimt abschmecken und servieren.;
Rührei mit Schnittlauch;Frühstück;leicht;20;Braten;vegetarisch;4;Eier;8;Stück;Milch;80;ml;Schnittlauch;1;Bund;Käse (optional);80;g;;;;;;;;;;;;;Eier mit Milch verquirlen.;Schnittlauch schneiden.;Eiermasse in der Pfanne bei mittlerer Hitze stocken lassen.;Schnittlauch (und optional Käse) unterheben und servieren.;
Arme Ritter;Frühstück;leicht;25;Braten;vegetarisch;4;Toast oder altes Brot;10;Scheibe;Eier;3;Stück;Milch;250;ml;Zucker;2;EL;Zimt;1;TL;;;;;;;;;;Eier, Milch, Zucker und Zimt verquirlen.;Brot kurz eintauchen.;In der Pfanne von beiden Seiten goldbraun braten.;Mit Obst oder Puderzucker servieren.;
Gemüseomelett;Frühstück;leicht;25;Braten;vegetarisch;4;Eier;8;Stück;Milch;80;ml;Gemüse (z. B. Paprika, Zucchini);400;g;Käse (gerieben);120;g;;;;;;;;;;;;;Gemüse klein schneiden und kurz anbraten.;Eier mit Milch verquirlen.;Eiermasse in die Pfanne geben.;Käse darüber streuen, stocken lassen und servieren.;
Omelett mit Gemüse;Frühstück;leicht;25;Braten;vegetarisch;4;Eier;8;Stück;Milch;80;ml;Gemüse (z. B. Paprika, Zucchini);400;g;Käse (gerieben);120;g;;;;;;;;;;;;;Gemüse klein schneiden und kurz anbraten.;Eier mit Milch verquirlen.;Eiermasse in die Pfanne geben.;Käse darüber streuen, stocken lassen und servieren.;
Pancakes;Frühstück;leicht;30;Braten;vegetarisch;4;Mehl;250;g;Milch;350;ml;Eier;2;Stück;Backpulver;2;TL;Zucker;2;EL;;;;;;;;;;Teig glatt rühren.;5 Minuten ruhen lassen.;Portionsweise ausbacken.;Mit Obst/Joghurt servieren.;
Pfannkuchen (süß);Frühstück;leicht;30;Braten;vegetarisch;4;Mehl;250;g;Milch;500;ml;Eier;3;Stück;Zucker;2;EL;Zimt (optional);1;TL;;;;;;;;;;Teig aus Mehl, Milch, Eiern (und Zucker) glatt rühren.;5 Minuten ruhen lassen.;In der Pfanne ausbacken.;Nach Wunsch süß servieren.;
Pfannkuchen (herzhaft) mit Käse;Frühstück;leicht;35;Braten;vegetarisch;4;Mehl;250;g;Milch;500;ml;Eier;3;Stück;Käse;150;g;Schinken (optional);150;g;;;;;;;;;;Teig aus Mehl, Milch und Eiern glatt rühren.;5 Minuten ruhen lassen.;Dünn in der Pfanne ausbacken.;Mit Käse (und optional Schinken) füllen und zusammenklappen.;
